companyName,profileUrl,location,logoUrl,companyType,revenue,establishedYear,description,isVerified
"PDF Process Development & Fabrication, Inc.",https://www.thomasnet.com/company/pdf-process-development-fabrication-inc-1293546/profile?cov=NA&format=json&heading=23639008&limit=2589&searchsource=suppliers&searchterm=Doors&what=Doors&which=prod&coverage_area=NA&pg=1,"Brazil, IN 47834",/_sda/_next/image?url=https%3A%2F%2Fcdn.thomasnet.com%2Fccp%2F01293546%2F265442.jpg&w=256&q=75,"Custom Manufacturer* , Finishing Service Company, Turnkey Systems Integrator, Service Company",$10 - 24.9 Mil Revenue,1993.0,"Custom manufacturer of sheet metal fabricated doors for the agricultural, automotive, food, transportation, material handling, signage, and medical industries. Made from aluminum, carbon steel, cold or hot rolled and galvanized steel, and stainless steel. Prototypes and low to high volume production runs available. Lean manufacturing capable. AutoCAD and SolidWorks® files accepted. Meets ANSI, ASTM, ASME, and AWS standards.",Yes
AutomationDirect,https://www.thomasnet.com/company/automationdirect-1278483/profile?cov=NA&format=json&heading=23639008&limit=2589&searchsource=suppliers&searchterm=Doors&what=Doors&which=prod&coverage_area=NA&pg=1,"Cumming, GA 30040",/_sda/_next/image?url=https%3A%2F%2Fcdn.thomasnet.com%2Fccp%2F01278483%2F259659.jpg&w=256&q=75,"Distributor* , Remanufacturer, Manufacturer",$250 Mil. and over Revenue,1994.0,"Distributor of opaque, viewing window, deep hinged, and double doors. Deep hinged doors are available in 10 x 10 x 2.63 in. to 34.19 x 20.14 x 2.75 in. sizes.",Yes
Wisconsin Oven Corp.,https://www.thomasnet.com/company/wisconsin-oven-corp-455914/profile?cov=NA&format=json&heading=23639008&limit=2589&searchsource=suppliers&searchterm=Doors&what=Doors&which=prod&coverage_area=NA&pg=1,"East Troy, WI 53120",/_sda/_next/image?url=https%3A%2F%2Fcdn.thomasnet.com%2Fccp%2F00455914%2F184343.jpg&w=256&q=75,"Manufacturer* , Custom Manufacturer, Distributor, Remanufacturer, Turnkey Systems Integrator, Service Company",$1 - 4.9 Mil Revenue,1973.0,"Custom manufacturer of oven doors. Secondary services such as replacement parts installation and maintenance are provided. Serves the aerospace, automotive, finishing, foundry, composite, energy, heat treating, laboratory, military and pharmaceutical industries.",Yes
Riverside Paper Co.,https://www.thomasnet.com/company/riverside-paper-co-20095454/profile?cov=NA&format=json&heading=23639008&limit=2589&searchsource=suppliers&searchterm=Doors&what=Doors&which=prod&coverage_area=NA&pg=1,,/_sda/_next/image?url=https%3A%2F%2Fcdn.thomasnet.com%2Fccp%2F20095454%2F50224.jpg&w=256&q=75,"Manufacturer* , Custom Manufacturer, Distributor, Service Company",$5 - 9.9 Mil Revenue,1973.0,"Manufacturer of strip doors made from PVC and vinyl materials. Available in 8 to 12 in. width strips with clear color. Features include pre-cut, holes punched to size, fire-resistant, self-extinguishing PVC and prevent dust and contaminants from entering workplace. Used for keeping the air conditioning and heat indoors.",Yes
"Sugatsune America, Inc.",https://www.thomasnet.com/company/sugatsune-america-inc-20097157/profile?cov=NA&format=json&heading=23639008&limit=2589&searchsource=suppliers&searchterm=Doors&what=Doors&which=prod&coverage_area=NA&pg=1,,/_sda/_next/image?url=https%3A%2F%2Fcdn.thomasnet.com%2Fritekit%2Fsugatsune.com.png&w=256&q=75,"Manufacturer* , Custom Manufacturer, Distributor",$25 - 49.9 Mil Revenue,1982.0,"Manufacturer of corrosion resistant doors for cabinets, interior, and furniture applications. Made from aluminum, stainless steel, steel, and plastic materials. Available in plain, chromate, nickel, and anodized silver finishes. Custom products are also offered. Serves aerospace, architectural, food, medical, and transportation industries. UL listed. RoHS compliant.",Yes
"Advanced Pedestals, Ltd.",https://www.thomasnet.com/company/advanced-pedestals-ltd-30987361/profile?cov=NA&format=json&heading=23639008&limit=2589&searchsource=suppliers&searchterm=Doors&what=Doors&which=prod&coverage_area=NA&pg=1,"Gainesville, TX 76240",/_sda/_next/image?url=https%3A%2F%2Fcdn.thomasnet.com%2Fccp%2F30987361%2F384173.png&w=256&q=75,"Manufacturer* , Custom Manufacturer",$10 - 24.9 Mil Revenue,1997.0,Manufacturer of temporary service doors for the electric utility industry. Meets AS9100D standards. Made in the USA.,Yes
"Total Refrigeration Gaskets, Inc.",https://www.thomasnet.com/company/total-refrigeration-gaskets-inc-797053/profile?cov=NA&format=json&heading=23639008&limit=2589&searchsource=suppliers&searchterm=Doors&what=Doors&which=prod&coverage_area=NA&pg=1,"Apopka, FL 32703",/_sda/_next/image?url=https%3A%2F%2Fcdn.thomasnet.com%2Fccp%2F00797053%2F200189.jpg&w=256&q=75,"Manufacturer* , Custom Manufacturer, Distributor",$1 - 4.9 Mil Revenue,1989.0,"Distributor of vinyl strip curtain refrigerator doors. Features vary depending upon model, including antimicrobial material, junction box brackets, double panels, and stainless steel hinges. Custom logo and labeling options are provided. Suitable for coolers and freezers.",Yes
"Source Equipment Company, Inc.",https://www.thomasnet.com/company/source-equipment-company-inc-690404/profile?cov=NA&format=json&heading=23639008&limit=2589&searchsource=suppliers&searchterm=Doors&what=Doors&which=prod&coverage_area=NA&pg=1,"Leominster, MA 01453",/_sda/_next/image?url=https%3A%2F%2Fcdn.thomasnet.com%2Fccp%2F00690404%2F185038.jpg&w=256&q=75,"Distributor* , Custom Manufacturer, Service Company",$1 Mil Revenue,1988.0,"Distributor of panel, swinging, Dutch, hinge, and slide doors. Made from PVC and stainless steel. Suitable for medium to light duty and general applications.",Yes
Tarps Now,https://www.thomasnet.com/company/tarps-now-30804356/profile?cov=NA&format=json&heading=23639008&limit=2589&searchsource=suppliers&searchterm=Doors&what=Doors&which=prod&coverage_area=NA&pg=1,"St Joseph, MI 49085",/_sda/_next/image?url=https%3A%2F%2Fcdn.thomasnet.com%2Fccp%2F30804356%2F235404.JPG&w=256&q=75,"Manufacturer* , Custom Manufacturer",$1 - 4.9 Mil Revenue,2010.0,"Manufacturer of standard and custom clear PVC vinyl strip doors/curtains. Used for protecting items against cold air, wind, drafts, weather, noise, dirt, dust, debris and pests. Applications include warehouses, loading docks, freezers, cold storage facilities and trailer doors. Curtain accessories and hardware are also available. Made in the USA.",Yes
"Jesco Industries, Inc.",https://www.thomasnet.com/company/jesco-industries-inc-177594/profile?cov=NA&format=json&heading=23639008&limit=2589&searchsource=suppliers&searchterm=Doors&what=Doors&which=prod&coverage_area=NA&pg=1,"Litchfield, MI 49252",/_sda/_next/image?url=https%3A%2F%2Fcdn.thomasnet.com%2Fccp%2F00177594%2F150454.GIF&w=256&q=75,"Manufacturer* , Custom Manufacturer",$5 - 9.9 Mil Revenue,1932.0,"Custom manufacturer of doors for protecting records, files & inventory from unauthorized personnel. Types of doors include single slide & hinged doors. Specifications of doors include 8 ft. & 10 ft. height, 3 ft. to 10 ft. width, 80 lbs. to 295 lbs. weight. Doors are available in dark gray color.",Yes
Filtration Technology Inc.,https://www.thomasnet.com/company/filtration-technology-inc-30198686/profile?cov=NA&format=json&heading=23639008&limit=2589&searchsource=suppliers&searchterm=Doors&what=Doors&which=prod&coverage_area=NA&pg=1,"Greensboro, NC 27407",/_sda/_next/image?url=https%3A%2F%2Fcdn.thomasnet.com%2Fccp%2F30198686%2F390603.png&w=256&q=75,"Manufacturer* , Custom Manufacturer, Distributor, Turnkey Systems Integrator, Service Company",$1 - 4.9 Mil Revenue,1971.0,"Distributor of cleanroom strip entrance doors. Suitable for cleanrooms from class 100,000 down to class 100, laminar flow hoods and wet bench shrouds. Custom designed doors are also offered. Serves the automotive, aerospace, medical, electronic, semiconductor, food, chemical, pharmaceutical and textile industries.",Yes
"American Surplus, Inc.",https://www.thomasnet.com/company/american-surplus-inc-670987/profile?cov=NA&format=json&heading=23639008&limit=2589&searchsource=suppliers&searchterm=Doors&what=Doors&which=prod&coverage_area=NA&pg=1,"East Providence, RI 02916",/_sda/_next/image?url=https%3A%2F%2Fcdn.thomasnet.com%2Fccp%2F00670987%2F53933.jpg&w=256&q=75,"Distributor* , Custom Manufacturer, Finishing Service Company, Turnkey Systems Integrator, Manufacturer, Service Company",$10 - 24.9 Mil Revenue,1993.0,"Distributor of new and used doors. Types include high speed and strip doors. Suitable for protection against the elements, dust and dirt. Installation services are also available.",Yes
Paul Reilly Company,https://www.thomasnet.com/company/paul-reilly-company-10085838/profile?cov=NA&format=json&heading=23639008&limit=2589&searchsource=suppliers&searchterm=Doors&what=Doors&which=prod&coverage_area=NA&pg=1,,/_sda/_next/image?url=https%3A%2F%2Fcdn.thomasnet.com%2Fccp%2F10085838%2F150518.jpg&w=256&q=75,"Distributor* , Service Company",$50 - 99.9 Mil Revenue,1977.0,"Distributor of industrial dock doors. Types include high speed, rolling, rigid rolling, insulated, overhead, damage resistant dock, sectional, specialty, accordion strip, and traffic doors. Available in various sizes and dimensions. Various features include replaceable windows or screens, three phase variable speed AC drives, programmable inputs and outputs, galvanized steel side frames, and integral locking systems. Automotive, commercial, food service, supermarket, warehouse, and manufacturing facility industries served.",Yes
"Ditto Sales, Inc.",https://www.thomasnet.com/company/ditto-sales-inc-956967/profile?cov=NA&format=json&heading=23639008&limit=2589&searchsource=suppliers&searchterm=Doors&what=Doors&which=prod&coverage_area=NA&pg=1,"Jasper, IN 47546",/_sda/_next/image?url=https%3A%2F%2Fcdn.thomasnet.com%2Fccp%2F00956967%2F228317.png&w=256&q=75,"Manufacturers' Rep* , Custom Manufacturer, Distributor, Finishing Service Company, Manufacturer, Service Company",$25 - 49.9 Mil Revenue,1936.0,"Supplier of vinyl strip doors. Various other products available include protection and shipping equipment, ball transfer systems, edge banding, glass, air circulators, woodworking machinery, enclosures, laser lights, CNC routers, filters, couplers, nailers, dumpers and partitions.",Yes
MarShield Custom Radiation Shielding,https://www.thomasnet.com/company/marshield-custom-radiation-shielding-10110523/profile?cov=NA&format=json&heading=23639008&limit=2589&searchsource=suppliers&searchterm=Doors&what=Doors&which=prod&coverage_area=NA&pg=1,"Burlington, ON L7L5L6",/_sda/_next/image?url=https%3A%2F%2Fcdn.thomasnet.com%2Fccp%2F10110523%2F220383.png&w=256&q=75,"Manufacturer* , Custom Manufacturer",$10 - 24.9 Mil Revenue,1979.0,"Manufacturer of standard and custom metal and wood lead lined, radio frequency (RF) protection auto-latch and radio frequency (RF) protection sliding doors. Made from stainless steel, birch and oak. Features vary depending upon model, including hollow metal frames, high energy shielded construction, key switches with LED indicators, access control devices, pneumatic operating systems and single or double leaf designs. Capabilities include MIG, TIG and stick welding, shearing, rolling, forming, bending, punching, drilling, waterjet, laser and plasma cutting, sandblasting and galvanizing. Designing and on-site consulting services are also provided. Meets DFARS standards. CSA N299.3-16 approved. Made in the USA.",Yes
"Power Engineering Co., Inc.",https://www.thomasnet.com/company/power-engineering-co-inc-396317/profile?cov=NA&format=json&heading=23639008&limit=2589&searchsource=suppliers&searchterm=Doors&what=Doors&which=prod&coverage_area=NA&pg=2,"Shrewsbury, MA 01545",,Distributor*,$1 - 4.9 Mil Revenue,1948.0,"Distributor of wire mesh doors made from steel and stainless steel materials. Offered with galvanized or hot rolled pickled and oiled (HRPO) coat finishes. Used for electric machine safety purposes. Suitable for HVAC, plumbing, and fire protection applications.",Yes
"DCI, Inc.",https://www.thomasnet.com/company/dci-inc-10010339/profile?cov=NA&format=json&heading=23639008&limit=2589&searchsource=suppliers&searchterm=Doors&what=Doors&which=prod&coverage_area=NA&pg=2,,/_sda/_next/image?url=https%3A%2F%2Fcdn.thomasnet.com%2Fccp%2F10010339%2F251072.png&w=256&q=75,"Manufacturer* , Custom Manufacturer, Turnkey Systems Integrator, Service Company",$50 - 99.9 Mil Revenue,1955.0,"Manufacturer of standard and custom doors for manway applications. Made from metal material. Serves cosmetics, food, dairy, beverage, pharmaceutical, chemical, biotech, and winery industries.",Yes
IES 2000,https://www.thomasnet.com/company/ies-2000-20059041/profile?cov=NA&format=json&heading=23639008&limit=2589&searchsource=suppliers&searchterm=Doors&what=Doors&which=prod&coverage_area=NA&pg=2,,/_sda/_next/image?url=https%3A%2F%2Fcdn.thomasnet.com%2Fccp%2F20059041%2F52621.jpg&w=256&q=75,"Custom Manufacturer* , Distributor, Manufacturer, Service Company",$1 - 4.9 Mil Revenue,1991.0,"Manufacturer of standard and custom acoustical doors. Types include single-double leaf, Bi-fold, sliding and lift design doors. Suitable for convention halls, auditoriums, conference rooms, offices and executive suites, schools, machinery enclosures and engine test cells.",Yes
Intech Radiation Shielding,https://www.thomasnet.com/company/intech-radiation-shielding-30986177/profile?cov=NA&format=json&heading=23639008&limit=2589&searchsource=suppliers&searchterm=Doors&what=Doors&which=prod&coverage_area=NA&pg=2,"Conroe, TX 77385",/_sda/_next/image?url=https%3A%2F%2Fd27w0ioz006ti0.cloudfront.net%2Fcompany%2Fa815bfa5-59d7-4f07-a796-bdd386d4d329%2Flogos%2F280473%2Fint.png&w=256&q=75,"Distributor* , Custom Manufacturer, Manufacturer, Service Company",,,"Distributor of lead-lined wood doors for radiation protection. Available in 1/32 to 1/4 in. thickness. Features include birch veneer finishes, lead-lined steel knock down frames, continuous hinges, and lever locksets. Suitable for radiology ( X-ray imaging ), fluoroscopy, PET, and CT scan rooms. Suitable for hospitals, labs, and industrial facilities. Large volume production runs available. Custom sizes also offered. Stock items available.",Yes
DFMZ Design Filtration Microzone,https://www.thomasnet.com/company/dfmz-design-filtration-microzone-10044054/profile?cov=NA&format=json&heading=23639008&limit=2589&searchsource=suppliers&searchterm=Doors&what=Doors&which=prod&coverage_area=NA&pg=2,"Stittsville, ON K2S2C7",/_sda/_next/image?url=https%3A%2F%2Fd27w0ioz006ti0.cloudfront.net%2Fcompany%2Fffb32258-d002-4adf-9634-dedc9d7e24c5%2Flogos%2F280269%2FDFMZ%20-%20logo.png&w=256&q=75,"Manufacturer* , Custom Manufacturer, Custom Manufacturer - Instant Quote",$10 - 24.9 Mil Revenue,1968.0,Custom manufacturer of swing doors for cleanroom applications. Available with aluminum frames. Serves the particulate and contamination control industries.,Yes
"Heinrich Brothers, Inc.",https://www.thomasnet.com/company/heinrich-brothers-inc-1211623/profile?cov=NA&format=json&heading=23639008&limit=2589&searchsource=suppliers&searchterm=Doors&what=Doors&which=prod&coverage_area=NA&pg=2,"McMurray, PA 15317",/_sda/_next/image?url=https%3A%2F%2Fcdn.thomasnet.com%2Fccp%2F01211623%2F231305.png&w=256&q=75,"Distributor* , Custom Manufacturer, Turnkey Systems Integrator, Manufacturer, Service Company",$1 - 4.9 Mil Revenue,2000.0,"Distributor of doors made from PVC, vinyl, and hardwood materials. Curtain, gate, mesh, and wire doors are offered. Features include vinyl resists fire, water, oil, mildew, and tear resistance. Suitable for providing a safe and secure barrier in the area. Some doors are made in the USA.",Yes
Nationwide Industrial Supply,https://www.thomasnet.com/company/nationwide-industrial-supply-20101513/profile?cov=NA&format=json&heading=23639008&limit=2589&searchsource=suppliers&searchterm=Doors&what=Doors&which=prod&coverage_area=NA&pg=2,"Butler, NJ 07405",/_sda/_next/image?url=https%3A%2F%2Fcdn.thomasnet.com%2Fccp%2F20101513%2F164847.png&w=256&q=75,Distributor*,$5 - 9.9 Mil Revenue,2006.0,"Distributor of doors made from vinyl material. Elevator, double acting, and floor doors are also offered. Some products are available in 8 in. width and 10 in. height. Suitable for noise, dust, fumes, and drafts. Made in the USA.",Yes
Quality Stainless Tanks,https://www.thomasnet.com/company/quality-stainless-tanks-1282554/profile?cov=NA&format=json&heading=23639008&limit=2589&searchsource=suppliers&searchterm=Doors&what=Doors&which=prod&coverage_area=NA&pg=2,"Ukiah, CA 95482",,"Custom Manufacturer* , Manufacturer, Service Company",$5 - 9.9 Mil Revenue,1995.0,Custom manufacturer of winery equipment including heavy duty doors. Made from stainless steel. Made in the USA.,Yes
"Tank Truck Service & Sales, Inc.",https://www.thomasnet.com/company/tank-truck-service-sales-inc-168697/profile?cov=NA&format=json&heading=23639008&limit=2589&searchsource=suppliers&searchterm=Doors&what=Doors&which=prod&coverage_area=NA&pg=2,,/_sda/_next/image?url=https%3A%2F%2Fcdn.thomasnet.com%2Fccp%2F00168697%2F213649.jpg&w=256&q=75,"Custom Manufacturer* , Distributor, Finishing Service Company, Manufacturer, Service Company",$5 - 9.9 Mil Revenue,1947.0,Manufacturer and distributor of tank truck equipment and components including cast aluminum double doors for 8 in. hose tubes. Stock items available.,Yes
"Arrowhead Plastic Engineering, Inc.",https://www.thomasnet.com/company/arrowhead-plastic-engineering-inc-124418/profile?cov=NA&format=json&heading=23639008&limit=2589&searchsource=suppliers&searchterm=Doors&what=Doors&which=prod&coverage_area=NA&pg=2,,/_sda/_next/image?url=https%3A%2F%2Fcdn.thomasnet.com%2Fccp%2F00124418%2F379016.jpg&w=256&q=75,"Custom Manufacturer* , Manufacturer, Custom Manufacturer - Instant Quote, Service Company",$5 - 9.9 Mil Revenue,1972.0,"Custom manufacturer of compartment doors made from fiberglass reinforced plastic (FRP) material. Capabilities include plug assist vacuum or thermoforming, resin transfer, vacuum infusion, closed cavity bag, and rotational molding. Prototypes and low to high volume production runs are available. Secondary services such as assembly, fixturing, laser scanning, and measuring are provided. Serves OEM, HVAC, defense, architectural, agricultural, automotive, marine, construction, and advertising industries.has context menu",Yes
Baba Trading LLC,https://www.thomasnet.com/company/baba-trading-llc-30993953/profile?cov=NA&format=json&heading=23639008&limit=2589&searchsource=suppliers&searchterm=Doors&what=Doors&which=prod&coverage_area=NA&pg=2,"Montgomery, AL 36117",/_sda/_next/image?url=https%3A%2F%2Fd27w0ioz006ti0.cloudfront.net%2Fcompany%2Fa215d49d-20a3-4afa-9647-b16c9411b38a%2Flogos%2F281001%2Fbaba.jpg&w=256&q=75,"Custom Manufacturer* , Finishing Service Company, Custom Manufacturer - Instant Quote",$1 - 4.9 Mil Revenue,2021.0,"Custom manufacturer of overlap type and beer cave glass doors for coolers and freezers. 2 or 3 panes, heated, non-heated, and hinged glass doors are available. Flush type swinging entry doors with PVC profiles are also offered. Featured with carbon fiber or aluminum frames, push type gaskets, and replaceable heaters. Suitable for convenience, liquor, and grocery stores and supermarkets.",Yes
Hy-Grade Metal Products Corp.,https://www.thomasnet.com/company/hy-grade-metal-products-corp-373121/profile?cov=NA&format=json&heading=23639008&limit=2589&searchsource=suppliers&searchterm=Doors&what=Doors&which=prod&coverage_area=NA&pg=2,"Syracuse, NY 13203",/_sda/_next/image?url=https%3A%2F%2Fcdn.thomasnet.com%2Fccp%2F00373121%2F180115.jpg&w=256&q=75,"Custom Manufacturer* , Finishing Service Company, Manufacturer",$1 Mil Revenue,1918.0,"Custom manufacturer of metal spun parts including doors and washing machine doors. Doors are available in hot rolled and cold rolled steel, aluminum alloys, copper, brass, stainless steel alloys, titanium, nickel, Monel®, Inconel®, silver, gold and exotic metals and ranging in dia. from 0.25 to 94 in. Services include CNC metal spinning and sheet metal fabricating.",Yes
Advanced Engineered Machine Products,https://www.thomasnet.com/company/advanced-engineered-machine-products-30734627/profile?cov=NA&format=json&heading=23639008&limit=2589&searchsource=suppliers&searchterm=Doors&what=Doors&which=prod&coverage_area=NA&pg=2,"Milmay, NJ 08340",,"Manufacturer* , Custom Manufacturer",$1 Mil Revenue,2015.0,"Manufacturer of explosion proof, relief and resistant doors for equipment and building safety applications. Explosion release latches, panels and vents are also available.",Yes
"Haggard & Stocking Associates, Inc.",https://www.thomasnet.com/company/haggard-stocking-associates-inc-123318/profile?cov=NA&format=json&heading=23639008&limit=2589&searchsource=suppliers&searchterm=Doors&what=Doors&which=prod&coverage_area=NA&pg=2,,/_sda/_next/image?url=https%3A%2F%2Fcdn.thomasnet.com%2Fccp%2F00123318%2F286490.png&w=256&q=75,"Distributor* , Custom Manufacturer, Finishing Service Company, Manufacturer, Service Company",$50 - 99.9 Mil Revenue,1972.0,Distributor of Aleco™ impact and strip doors. Vendor managed inventory (VMI) programs available.,Yes
